"","President","Lifespan","ElectedAge","RemainingYears"
"15","George Washington",67,57,10
"26","John Adams",91,62,29
"37","Thomas Jefferson",83,58,25
"23","James Madison",85,58,27
"24","James Monroe",73,59,14
"28","John Quincy Adams",81,58,23
"2","Andrew Jackson",78,62,16
"31","Martin Van Buren",80,55,25
"29","John Tyler",72,51,21
"40","William Henry Harrison",68,68,0
"22","James K. Polk",54,50,4
"44","Zachary Taylor",66,65,1
"32","Millard Fillmore",74,50,24
"11","Franklin Pierce",65,49,16
"21","James Buchanan",77,66,11
"1","Abraham Lincoln",56,52,4
"3","Andrew Johnson",67,57,10
"38","Ulysses S. Grant",63,47,16
"35","Rutherford B. Hayes",71,55,16
"8","Chester Arthur",57,52,5
"20","James A. Garfield",50,50,0
"17","Grover Cleveland",71,48,23
"5","Benjamin Harrison",68,56,12
"42","William McKinley",58,54,4
"36","Theodore Roosevelt",61,43,18
"41","William Howard Taft",73,52,21
"43","Woodrow Wilson",68,57,11
"39","Warren G. Harding",58,56,2
"7","Calvin Coolidge",61,51,10
"19","Herbert Hoover",90,55,35
"12","Franklin Roosevelt",63,51,12
"18","Harry S. Truman",88,61,27
"10","Dwight Eisenhower",79,63,16
"27","John F. Kennedy",46,44,2
"30","Lyndon B. Johnson",65,55,10
"33","Richard Nixon",81,56,25
"16","Gerald Ford",93,61,32
"25","Jimmy Carter",NA,53,NA
"34","Ronald Reagan",93,70,23
"13","George Bush",NA,65,NA
"6","Bill Clinton",NA,47,NA
"14","George W. Bush",NA,55,NA
"4","Barack Obama",NA,48,NA
"9","Donald Trump",NA,71,NA
