"","President","newBirth","newDeath","First Elected","shortBirth","shortDeath","first_elected","life","elected_age","remaining_life"
"1","Abraham Lincoln",1809-02-12,1865-04-15,1861,1809,1865,1861,56,52,4
"2","Andrew Jackson",1767-03-15,1845-06-08,1829,1767,1845,1829,78,62,16
"3","Andrew Johnson",1808-12-29,1875-07-31,1865,1808,1875,1865,67,57,10
"4","Barack Obama",1961-08-04,NA,2009,1961,NA,2009,NA,48,NA
"5","Benjamin Harrison",1833-08-20,1901-03-13,1889,1833,1901,1889,68,56,12
"6","Bill Clinton",1946-08-19,NA,1993,1946,NA,1993,NA,47,NA
"7","Calvin Coolidge",1872-07-04,1933-01-05,1923,1872,1933,1923,61,51,10
"8","Chester Arthur",1829-10-05,1886-11-18,1881,1829,1886,1881,57,52,5
"9","Donald Trump",1946-06-14,NA,2017,1946,NA,2017,NA,71,NA
"10","Dwight Eisenhower",1890-10-14,1969-03-28,1953,1890,1969,1953,79,63,16
"11","Franklin Pierce",1804-11-23,1869-10-08,1853,1804,1869,1853,65,49,16
"12","Franklin Roosevelt",1882-01-30,1945-04-12,1933,1882,1945,1933,63,51,12
"13","George Bush",1924-06-12,NA,1989,1924,NA,1989,NA,65,NA
"14","George W. Bush",1946-07-06,NA,2001,1946,NA,2001,NA,55,NA
"15","George Washington",1732-02-22,1799-12-14,1789,1732,1799,1789,67,57,10
"16","Gerald Ford",1913-07-14,2006-12-26,1974,1913,2006,1974,93,61,32
"17","Grover Cleveland",1837-03-18,1908-06-24,1885,1837,1908,1885,71,48,23
"18","Harry S. Truman",1884-05-08,1972-12-26,1945,1884,1972,1945,88,61,27
"19","Herbert Hoover",1874-08-10,1964-10-19,1929,1874,1964,1929,90,55,35
"20","James A. Garfield",1831-11-19,1881-09-19,1881,1831,1881,1881,50,50,0
"21","James Buchanan",1791-04-23,1868-06-01,1857,1791,1868,1857,77,66,11
"22","James K. Polk",1795-11-02,1849-06-15,1845,1795,1849,1845,54,50,4
"23","James Madison",1751-03-16,1836-06-28,1809,1751,1836,1809,85,58,27
"24","James Monroe",1758-04-28,1831-07-04,1817,1758,1831,1817,73,59,14
"25","Jimmy Carter",1924-10-01,NA,1977,1924,NA,1977,NA,53,NA
"26","John Adams",1735-10-30,1826-07-04,1797,1735,1826,1797,91,62,29
"27","John F. Kennedy",1917-05-29,1963-11-22,1961,1917,1963,1961,46,44,2
"28","John Quincy Adams",1767-07-11,1848-02-23,1825,1767,1848,1825,81,58,23
"29","John Tyler",1790-03-29,1862-01-18,1841,1790,1862,1841,72,51,21
"30","Lyndon B. Johnson",1908-08-27,1973-01-22,1963,1908,1973,1963,65,55,10
"31","Martin Van Buren",1782-12-05,1862-07-24,1837,1782,1862,1837,80,55,25
"32","Millard Fillmore",1800-01-07,1874-03-08,1850,1800,1874,1850,74,50,24
"33","Richard Nixon",1913-01-09,1994-04-22,1969,1913,1994,1969,81,56,25
"34","Ronald Reagan",1911-02-06,2004-06-05,1981,1911,2004,1981,93,70,23
"35","Rutherford B. Hayes",1822-10-04,1893-01-17,1877,1822,1893,1877,71,55,16
"36","Theodore Roosevelt",1858-10-27,1919-01-06,1901,1858,1919,1901,61,43,18
"37","Thomas Jefferson",1743-04-13,1826-07-04,1801,1743,1826,1801,83,58,25
"38","Ulysses S. Grant",1822-04-27,1885-07-23,1869,1822,1885,1869,63,47,16
"39","Warren G. Harding",1865-11-02,1923-08-02,1921,1865,1923,1921,58,56,2
"40","William Henry Harrison",1773-02-09,1841-04-04,1841,1773,1841,1841,68,68,0
"41","William Howard Taft",1857-09-15,1930-03-08,1909,1857,1930,1909,73,52,21
"42","William McKinley",1843-01-29,1901-09-14,1897,1843,1901,1897,58,54,4
"43","Woodrow Wilson",1856-12-28,1924-02-03,1913,1856,1924,1913,68,57,11
"44","Zachary Taylor",1784-11-24,1850-07-09,1849,1784,1850,1849,66,65,1
