President,Birth Date,Death Date
George Washington,"Feb 22, 1732","Dec 14, 1799"
John Adams,"Oct 30, 1735","July 4, 1826"
Thomas Jefferson,"Apr 13, 1743","July 4, 1826"
James Madison,"Mar 16, 1751","June 28, 1836"
James Monroe,"Apr 28, 1758","July 4, 1831"
John Quincy Adams,"July 11, 1767","Feb 23, 1848"
Andrew Jackson,"Mar 15, 1767","June 8, 1845"
Martin Van Buren,"Dec 5, 1782","July 24, 1862"
William Henry Harrison,"Feb 9, 1773","Apr 4, 1841"
John Tyler,"Mar 29, 1790","Jan 18, 1862"
James K. Polk,"Nov 2, 1795","June 15, 1849"
Zachary Taylor,"Nov 24, 1784","July 9, 1850"
Millard Fillmore,"Jan 7, 1800","Mar 8, 1874"
Franklin Pierce,"Nov 23, 1804","Oct 8, 1869"
James Buchanan,"Apr 23, 1791","June 1, 1868"
Abraham Lincoln,"Feb 12, 1809","Apr 15, 1865"
Andrew Johnson,"Dec 29, 1808","July 31, 1875"
Ulysses S. Grant,"Apr 27, 1822","July 23, 1885"
Rutherford B. Hayes,"Oct 4, 1822","Jan 17, 1893"
James A. Garfield,"Nov 19, 1831","Sep 19, 1881"
Chester Arthur,"Oct 5, 1829","Nov 18, 1886"
Grover Cleveland,"Mar 18, 1837",24-Jun-08
Benjamin Harrison,"Aug 20, 1833",13-Mar-01
William McKinley,"Jan 29, 1843",14-Sep-01
Theodore Roosevelt,"Oct 27, 1858",6-Jan-19
William Howard Taft,"Sep 15, 1857",8-Mar-30
Woodrow Wilson,"Dec 28, 1856",3-Feb-24
Warren G. Harding,"Nov 2, 1865",2-Aug-23
Calvin Coolidge,"July 4, 1872",5-Jan-33
Herbert Hoover,"Aug 10, 1874",20-Oct-64
Franklin Roosevelt,"Jan 30, 1882",12-Apr-45
Harry S. Truman,"May 8, 1884",26-Dec-72
Dwight Eisenhower,"Oct 14, 1890",28-Mar-69
John F. Kennedy,29-May-17,22-Nov-63
Lyndon B. Johnson,27-Aug-08,22-Jan-73
Richard Nixon,9-Jan-13,22-Apr-94
Gerald Ford,14-Jul-13,26-Dec-06
Jimmy Carter,1-Oct-24,NA
Ronald Reagan,6-Feb-11,5-Jun-04
George Bush,12-Jun-24,NA
Bill Clinton,19-Aug-46,NA
George W. Bush,6-Jul-46,NA
Barack Obama,4-Aug-61,NA
Donald Trump,14-Jun-46,NA
