President,First Elected
George Washington (1789-1797),1789
John Adams (1797-1801),1797
Thomas Jefferson (1801-1809),1801
James Madison (1809-1817),1809
James Monroe (1817-1825),1817
John Quincy Adams (1825-1829),1825
Andrew Jackson (1829-1837),1829
Martin Van Buren (1837-1841),1837
William Henry Harrison (1841),1841
John Tyler (1841-1845),1841
James K. Polk (1845-1849),1845
Zachary Taylor (1849-1850),1849
Millard Fillmore (1850-1853),1850
Franklin Pierce (1853-1857),1853
James Buchanan (1857-1861),1857
Abraham Lincoln (1861-1865),1861
Andrew Johnson (1865-1869),1865
Ulysses S. Grant (1869-1877),1869
Rutherford B. Hayes (1877-1881),1877
James A. Garfield (1881),1881
Chester Arthur (1881-1885),1881
Grover Cleveland (1885-1889),1885
Benjamin Harrison (1889-1893),1889
William McKinley (1897-1901),1897
Theodore Roosevelt (1901-1909),1901
William Howard Taft (1909-1913),1909
Woodrow Wilson (1913-1921),1913
Warren G. Harding (1921-1923),1921
Calvin Coolidge (1923-1929),1923
Herbert Hoover (1929-1933),1929
Franklin D. Roosevelt (1933-1945),1933
Harry S. Truman (1945-1953),1945
Dwight D. Eisenhower (1953-1961),1953
John F. Kennedy (1961-1963),1961
Lyndon B. Johnson (1963-1969),1963
Richard Nixon (1969-1974),1969
Gerald Ford (1974-1977),1974
Jimmy Carter (1977-1981),1977
Ronald Reagan (1981-1989),1981
George Bush (1989-1993),1989
Bill Clinton (1993-2001),1993
George W. Bush (2001-2009),2001
Barack Obama (2009-2017),2009
Donald Trump (2017- ),2017
